depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,lpStakingPool,1401750,471,1401279
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,staticcall,Unresolved_f5996fe4,1423080,1405,1421675
5,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x28cd26607b09f6a2c89c1ec02cc5ec9b25cb0257,staticcall,implementation,1400606,308,1400298
5,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,delegatecall,Unresolved_f5996fe4,1399942,447,1399495
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,staticcall,getAllRewardsTokens,1421284,1977,1419307
5,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x2d2d83afe241c1ca57fec3eb9c4f4786f1e0ca31,staticcall,implementation,1398838,308,1398530
5,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,delegatecall,getAllRewardsTokens,1398174,1013,1397161
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,Unresolved_4f4ce61d,1418114,1407,1416707
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1395717,308,1395409
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,Unresolved_4f4ce61d,1395054,449,1394605
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1414170,2644,1411526
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,Unresolved_58f4dcc3,1410896,1340,1409556
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1388612,308,1388304
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,Unresolved_58f4dcc3,1387949,382,1387567
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,Unresolved_4f4ce61d,1409008,1407,1407601
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1386754,308,1386446
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,Unresolved_4f4ce61d,1386090,449,1385641
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x02f92800f57bcd74066f5709f1daa1a4302df875,staticcall,balanceOf,1404661,2467,1402194
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,lpStakingPool,1393145,1429,1391716
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1371138,308,1370830
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,lpStakingPool,1370475,471,1370004
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,call,transferFrom,1391063,154251,1236812
5,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x28cd26607b09f6a2c89c1ec02cc5ec9b25cb0257,staticcall,implementation,1369089,308,1368781
5,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,delegatecall,transferFrom,1368417,153284,1215133
6,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,call,Unresolved_d6460b4b,1338080,27574,1310506
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x2d2d83afe241c1ca57fec3eb9c4f4786f1e0ca31,staticcall,implementation,1316934,308,1316626
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,delegatecall,Unresolved_d6460b4b,1316261,26610,1289651
8,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,call,Unresolved_bb463027,1294586,6958,1287628
9,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1274119,308,1273811
9,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,Unresolved_bb463027,1273456,6003,1267453
